beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Boston Lager","Samuel Adams","Lager - Vienna",5,30,,,,,,,,3,"2013-08-16 19:04:59",https://api.untappd.com/c/41521587,https://api.untappd.com/beer/3914,https://api.untappd.com/brewery/157,"United States",Boston,MA,,,,41521587,3914,157,,3.42,3.42,,0,0
OctoberFest,"Samuel Adams",Märzen,5.3,16,,"Box 63 American Bar & Grill","New Haven",CT,"United States",41.3114,-72.932,,"2013-08-21 22:07:23",https://api.untappd.com/c/42237333,https://api.untappd.com/beer/3942,https://api.untappd.com/brewery/157,"United States",Boston,MA,,,,42237333,3942,157,,3.61,3.61,,0,0
"Allagash White","Allagash Brewing Company","Wheat Beer - Witbier / Blanche",5.2,13,,,,,,,,4.5,"2013-11-29 01:05:36",https://api.untappd.com/c/56062446,https://api.untappd.com/beer/5862,https://api.untappd.com/brewery/24,"United States",Portland,ME,,,,56062446,5862,24,,3.75,3.75,,0,0
"(203) Lager","Stony Creek Brewery","Lager - American Amber / Red",4.7,22,,,,,,,,4,"2014-11-26 15:19:26",https://api.untappd.com/c/132543078,https://api.untappd.com/beer/381775,https://api.untappd.com/brewery/35610,"United States",Branford,CT,,,,132543078,381775,35610,,3.27,3.36,,0,0
"Summer Sour: Blackberry","Fifth Hammer Brewing Co.","Sour - Other",6.2,0,,"Fifth Hammer Brewing Company",Queens,NY,"United States",40.7466,-73.9514,4,"2018-09-02 17:11:41",https://api.untappd.com/c/647172112,https://api.untappd.com/beer/2665049,https://api.untappd.com/brewery/362426,"United States","Long Island City",NY,,,Draft,647172112,2665049,362426,,3.87,3.82,,0,0
"Elvis Juice",BrewDog,"IPA - Fruited",6.5,40,,,,,,,,4.5,"2018-09-08 11:32:27",https://api.untappd.com/c/649208618,https://api.untappd.com/beer/1441008,https://api.untappd.com/brewery/241,Scotland,Ellon,Aberdeenshire,,,,649208618,1441008,241,,3.7,3.7,,0,0
"Citrus Jammer","Sixpoint Brewery","Sour - Fruited Gose",4,0,,,,,,,,4.75,"2018-09-08 11:33:09",https://api.untappd.com/c/649208933,https://api.untappd.com/beer/2586898,https://api.untappd.com/brewery/1149,"United States",Brooklyn,NY,,,,649208933,2586898,1149,,3.73,3.73,,0,0
"Sunshine Pop!","Grimm Artisanal Ales","Sour - Berliner Weisse",4.8,0,,,,,,,,3.5,"2018-09-08 22:39:46",https://api.untappd.com/c/649789186,https://api.untappd.com/beer/2366861,https://api.untappd.com/brewery/72844,"United States",Brooklyn,NY,,,,649789186,2366861,72844,,4.04,4.01,,0,0
"Bride of Beach Zombie","KCBC - Kings County Brewers Collective","Sour - Fruited Berliner Weisse",4,4,,"Kings County Brewers Collective",Brooklyn,NY,"United States",40.7061,-73.9237,4.5,"2018-09-09 16:55:47",https://api.untappd.com/c/650101048,https://api.untappd.com/beer/2184066,https://api.untappd.com/brewery/167520,"United States",Brooklyn,NY,"mango,sour,passion fruit,juicy",,Draft,650101048,2184066,167520,,4.02,3.99,,0,0
"Party Crasher","LIC Beer Project","IPA - New England / Hazy",5.5,0,,"LIC Beer Project","Long Island City",NY,"United States",40.7547,-73.9394,4.5,"2018-10-07 13:00:16",https://api.untappd.com/c/661158838,https://api.untappd.com/beer/1541304,https://api.untappd.com/brewery/201804,"United States","Long Island City",NY,,,,661158838,1541304,201804,,3.99,3.99,,0,0
"Ardent Core","LIC Beer Project","Farmhouse Ale - Saison",6.5,0,,,,,,,,3.75,"2018-10-07 13:01:04",https://api.untappd.com/c/661159269,https://api.untappd.com/beer/1077908,https://api.untappd.com/brewery/201804,"United States","Long Island City",NY,,,,661159269,1077908,201804,,3.73,3.73,,0,0
"Game of Thrones: Mother of Dragons","Brewery Ommegang","Smoked Beer",6.6,30,,,,,,,,4.5,"2018-11-20 09:28:22",https://api.untappd.com/c/678061369,https://api.untappd.com/beer/2798919,https://api.untappd.com/brewery/249,"United States",Cooperstown,NY,"cherry,smoked",,Bottle,678061369,2798919,249,,3.72,3.72,,0,0
"La Folie (2018)","New Belgium Brewing Company","Sour - Flanders Oud Bruin",7,0,,,,,,,,4.25,"2018-11-20 09:29:26",https://api.untappd.com/c/678061424,https://api.untappd.com/beer/2531888,https://api.untappd.com/brewery/905,"United States","Fort Collins",CO,"sour,tart,cherry,smooth,chocolate",,Bottle,678061424,2531888,905,,4.08,4.06,,0,0
"Sour Rosé","Crooked Stave Artisan Beer Project","Wild Ale - American",4.5,0,,,,,,,,4.5,"2018-11-20 09:31:47",https://api.untappd.com/c/678061550,https://api.untappd.com/beer/1702801,https://api.untappd.com/brewery/10568,"United States",Denver,CO,"sour,raspberry,crisp,dry",,Can,678061550,1702801,10568,https://untappd.s3.amazonaws.com/photos/2018_11_20/be96ba58b049dd620a864f2a1090be0b_raw.jpg,3.83,3.83,,0,0
"H2 Chardonnay Harvest Ale","Transmitter Brewing","Farmhouse Ale - Saison",7.1,0,,,,,,,,4.5,"2018-11-25 14:53:58",https://api.untappd.com/c/680680127,https://api.untappd.com/beer/1006033,https://api.untappd.com/brewery/95893,"United States",Brooklyn,NY,"sour,tart",,Bottle,680680127,1006033,95893,,4.05,3.93,,1,0
"Party Crasher","LIC Beer Project","IPA - New England / Hazy",5.5,0,,,,,,,,4.5,"2018-11-25 17:23:22",https://api.untappd.com/c/680757281,https://api.untappd.com/beer/1541304,https://api.untappd.com/brewery/201804,"United States","Long Island City",NY,,,,680757281,1541304,201804,,3.99,3.99,,0,0
"Big Swell IPA","Maui Brewing Company","IPA - American",6.8,70,,"Maui Brewing Company",Kihei,HI,"United States",20.7495,-156.437,3.5,"2019-02-19 11:26:27",https://api.untappd.com/c/714531321,https://api.untappd.com/beer/5382,https://api.untappd.com/brewery/836,"United States",Kihei,HI,,,Draft,714531321,5382,836,,3.69,3.69,,0,0
"Citra Dreams","Captain Lawrence Brewing Company","IPA - New England / Hazy",7,24,,,,,,,,4,"2020-02-12 10:40:43",https://api.untappd.com/c/865626130,https://api.untappd.com/beer/3441378,https://api.untappd.com/brewery/341,"United States",Elmsford,NY,"hoppy,citrusy",,Can,865626130,3441378,341,,3.86,3.86,,0,0
Ski-In-Ski-Stout,"Telluride Brewing Company","Stout - Coffee",5.8,19,,,,,,,,2.5,"2020-02-12 10:41:09",https://api.untappd.com/c/865626160,https://api.untappd.com/beer/110828,https://api.untappd.com/brewery/17414,"United States",Telluride,CO,dark,,Can,865626160,110828,17414,,3.77,3.77,,0,0
"Winter Ale","Blue Point Brewing Company","Winter Ale",7.7,25,,,,,,,,2,"2020-02-12 10:41:37",https://api.untappd.com/c/865626199,https://api.untappd.com/beer/10879,https://api.untappd.com/brewery/144,"United States",Patchogue,NY,,,Bottle,865626199,10879,144,,3.38,3.38,,0,0
"Christmas Ale","Abita Brewing Company","Winter Ale",5.5,34,,,,,,,,3,"2020-02-12 10:42:01",https://api.untappd.com/c/865626231,https://api.untappd.com/beer/7807,https://api.untappd.com/brewery/10,"United States","Abita Springs",LA,,,Bottle,865626231,7807,10,,3.24,3.24,,0,0
